Index,epoch,train/box_loss,train/seg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss
189,190,0.86247,0.88065,0.89083,0.69212,0.56243,0.77403,0.58128,0.22723,1.124,1.2703
190,191,0.86205,0.90096,0.85162,0.73508,0.56604,0.78885,0.55665,0.22444,1.1498,1.2367
191,192,0.83565,0.86428,0.86394,0.7194,0.5667,0.75817,0.59606,0.22522,1.1361,1.2105
192,193,0.84691,0.86055,0.90044,0.71288,0.56514,0.778,0.60423,0.22109,1.1185,1.2579
193,194,0.85225,0.87749,0.87468,0.70197,0.54998,0.73093,0.5955,0.22652,1.1455,1.2849
194,195,0.87232,0.88849,0.8767,0.68298,0.54695,0.80234,0.5699,0.2265,1.144,1.3187
195,196,0.86438,0.88946,0.90276,0.67488,0.54908,0.76815,0.57143,0.22247,1.1486,1.3045
196,197,0.85623,0.83418,0.87308,0.69467,0.55343,0.75067,0.56158,0.22369,1.1436,1.33
197,198,0.84793,0.84822,0.86121,0.69704,0.54782,0.79021,0.54738,0.21364,1.1619,1.371
198,199,0.83172,0.81869,0.90633,0.70443,0.54797,0.76627,0.5814,0.21889,1.1897,1.3828
199,200,0.85251,0.87237,0.83056,0.72441,0.55454,0.80448,0.57635,0.22775,1.1753,1.3379
200,201,0.83758,0.82627,0.86673,0.71429,0.56347,0.82173,0.57882,0.23522,1.1484,1.2582
201,202,0.82925,0.87835,0.91142,0.70964,0.56825,0.79273,0.58621,0.22923,1.1242,1.2048
202,203,0.84341,0.8294,0.87558,0.71429,0.56341,0.74596,0.60837,0.22361,1.1096,1.2147
203,204,0.85264,0.8656,0.87764,0.72906,0.56724,0.79225,0.57389,0.21665,1.1135,1.2184
204,205,0.84176,0.83814,0.846,0.76108,0.56969,0.69306,0.62315,0.2208,1.1233,1.2152
205,206,0.864,0.86119,0.91272,0.6954,0.56506,0.79992,0.57635,0.22856,1.1437,1.2358
206,207,0.82445,0.89676,0.86565,0.73399,0.56909,0.76247,0.58621,0.22535,1.1344,1.2587
207,208,0.81943,0.85396,0.84519,0.72614,0.55707,0.78145,0.56364,0.21152,1.1261,1.2623
208,209,0.82018,0.78552,0.86065,0.71182,0.55369,0.77225,0.57389,0.21178,1.1355,1.2448
209,210,0.83804,0.83596,0.9134,0.70936,0.563,0.77348,0.58872,0.21298,1.1492,1.2656
210,211,0.85356,0.87869,0.91141,0.70948,0.57047,0.79544,0.57468,0.21371,1.1453,1.2791
211,212,0.82962,0.8662,0.93735,0.70023,0.56896,0.77909,0.582,0.21203,1.1516,1.3371
212,213,0.85366,0.84234,0.9138,0.70498,0.55581,0.78161,0.58374,0.21745,1.1661,1.4116
213,214,0.84153,0.8112,0.93167,0.69458,0.55653,0.79041,0.58867,0.22319,1.1562,1.3984
214,215,0.80185,0.85434,0.9625,0.68719,0.56495,0.81444,0.58128,0.21941,1.1393,1.3647
215,216,0.81283,0.82156,0.91203,0.71496,0.57026,0.77271,0.58613,0.21318,1.1389,1.3563
216,217,0.8272,0.84077,0.91913,0.69986,0.5608,0.77153,0.58222,0.21792,1.1356,1.3752
217,218,0.83399,0.83479,0.85413,0.72906,0.55716,0.80035,0.55172,0.22467,1.147,1.4042
218,219,0.8493,0.86112,0.83811,0.7266,0.55223,0.71754,0.5936,0.20734,1.145,1.391
219,220,0.82566,0.82768,0.8638,0.71921,0.55182,0.75053,0.58374,0.21084,1.1625,1.3692
220,221,0.81958,0.85195,0.89549,0.68473,0.54501,0.74776,0.57635,0.21111,1.1666,1.3281
221,222,0.79479,0.7923,0.90084,0.70197,0.54804,0.75036,0.57635,0.21918,1.1637,1.3296
222,223,0.80392,0.82428,0.92353,0.68418,0.5488,0.79899,0.55419,0.21667,1.1839,1.3578
223,224,0.83164,0.84716,0.92719,0.68719,0.55246,0.803,0.55911,0.21937,1.1634,1.3402
224,225,0.80219,0.8196,0.90007,0.70443,0.5624,0.80312,0.56897,0.22203,1.1397,1.3308
