,epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,103,1.02,1.0446,0.56506,0.80762,0.86153,0.68966,0.77962,0.51622,0.75144,0.59113,0.62238,0.22678,1.2062,1.318,0.8421,0.81288,0.0080002,0.0080002,0.0080002
103,104,1.0541,1.0764,0.58925,0.80317,0.90251,0.66125,0.76366,0.50789,0.78115,0.57143,0.60468,0.20593,1.2075,1.2778,0.87984,0.81349,0.0079804,0.0079804,0.0079804
104,105,1.0505,1.0629,0.58168,0.81602,0.88555,0.67734,0.78327,0.52576,0.80863,0.57242,0.64913,0.22983,1.1842,1.2514,0.9007,0.80813,0.0079606,0.0079606,0.0079606
105,106,1.0264,1.0856,0.5743,0.80975,0.85213,0.68966,0.78577,0.53211,0.77106,0.57882,0.62798,0.19943,1.1624,1.2486,0.82645,0.80805,0.0079408,0.0079408,0.0079408
106,107,1.0307,1.1079,0.57,0.80174,0.91297,0.68966,0.79053,0.52898,0.77759,0.59113,0.62348,0.1998,1.2011,1.2985,0.81107,0.8122,0.007921,0.007921,0.007921
107,108,1.0431,1.0556,0.57743,0.80378,0.863,0.67734,0.76986,0.52289,0.82706,0.5468,0.61862,0.21671,1.2095,1.3013,0.9572,0.81297,0.0079012,0.0079012,0.0079012
108,109,1.0168,1.0755,0.57554,0.80443,0.84848,0.68719,0.79159,0.52297,0.71074,0.58867,0.62679,0.21809,1.2072,1.3177,0.84738,0.81378,0.0078814,0.0078814,0.0078814
109,110,1.0226,1.0894,0.56352,0.80048,0.83713,0.70197,0.77349,0.5257,0.77892,0.5554,0.61139,0.19883,1.164,1.2436,0.87806,0.81114,0.0078616,0.0078616,0.0078616
110,111,0.97973,0.99551,0.54936,0.80343,0.85871,0.68862,0.78721,0.53368,0.73793,0.60591,0.64147,0.23942,1.1748,1.3024,0.8623,0.80995,0.0078418,0.0078418,0.0078418
111,112,1.0366,1.0845,0.55268,0.80527,0.89675,0.71675,0.79747,0.53396,0.74381,0.5864,0.60361,0.19885,1.2048,1.2551,0.81181,0.81314,0.007822,0.007822,0.007822
112,113,1.0048,1.0247,0.54929,0.80169,0.88025,0.70613,0.8016,0.53464,0.7521,0.60837,0.63259,0.22194,1.1902,1.2431,0.8047,0.80928,0.0078022,0.0078022,0.0078022
113,114,1.0378,1.0469,0.55921,0.80212,0.81225,0.69264,0.77548,0.51672,0.68429,0.58128,0.59837,0.20223,1.1979,1.3172,0.91431,0.81034,0.0077824,0.0077824,0.0077824
114,115,1.0081,1.0529,0.55476,0.79948,0.84932,0.69704,0.77933,0.52325,0.77659,0.56404,0.61084,0.19957,1.1888,1.349,0.90446,0.81479,0.0077626,0.0077626,0.0077626
115,116,1.0182,1.0503,0.56157,0.79702,0.90205,0.66749,0.78374,0.52309,0.7634,0.54836,0.6001,0.19305,1.1868,1.2556,0.91346,0.80963,0.0077428,0.0077428,0.0077428
116,117,1.0142,1.0329,0.53644,0.80205,0.85966,0.69951,0.79654,0.53761,0.77287,0.59507,0.64728,0.21858,1.1772,1.2655,0.83208,0.80866,0.007723,0.007723,0.007723
117,118,1.0153,1.0235,0.54831,0.81057,0.87423,0.7266,0.80204,0.54176,0.73338,0.62069,0.64164,0.23073,1.1896,1.3097,0.9138,0.81252,0.0077032,0.0077032,0.0077032
118,119,1.0026,1.0181,0.55385,0.80263,0.87265,0.7069,0.80875,0.53968,0.74662,0.60241,0.64023,0.22702,1.1735,1.1953,0.81577,0.80736,0.0076834,0.0076834,0.0076834
119,120,0.99893,1.0429,0.54863,0.80101,0.86801,0.71273,0.80809,0.54473,0.76053,0.57882,0.6378,0.21338,1.163,1.2401,0.84875,0.80515,0.0076636,0.0076636,0.0076636
120,121,0.9733,0.92433,0.52471,0.79887,0.87888,0.69458,0.78712,0.53403,0.77211,0.55665,0.6022,0.21091,1.2004,1.2922,0.89322,0.80877,0.0076438,0.0076438,0.0076438
121,122,0.99744,1.0275,0.55048,0.8061,0.90023,0.66502,0.79448,0.53789,0.7769,0.53941,0.62693,0.20548,1.1891,1.369,0.80985,0.81033,0.007624,0.007624,0.007624
122,123,1.0081,1.0117,0.54077,0.80746,0.87249,0.70784,0.7938,0.54443,0.74393,0.56404,0.60377,0.20043,1.1848,1.2817,0.79431,0.80952,0.0076042,0.0076042,0.0076042
123,124,0.98785,0.97783,0.52461,0.80107,0.90371,0.6798,0.78841,0.54277,0.75876,0.57143,0.59418,0.18843,1.1388,1.2521,0.83481,0.80585,0.0075844,0.0075844,0.0075844
124,125,0.99123,1.006,0.54324,0.80512,0.87491,0.69704,0.79458,0.53784,0.79004,0.58621,0.6389,0.21768,1.1349,1.1659,0.91512,0.80747,0.0075646,0.0075646,0.0075646
125,126,0.98522,1.0232,0.53229,0.80203,0.86761,0.72167,0.81538,0.53933,0.73874,0.5936,0.62487,0.20407,1.1772,1.2459,0.78248,0.80665,0.0075448,0.0075448,0.0075448
126,127,0.98906,0.99556,0.52698,0.80033,0.86276,0.70197,0.81815,0.54669,0.79811,0.57882,0.64908,0.22881,1.1943,1.284,0.82989,0.81022,0.007525,0.007525,0.007525
127,128,0.96846,0.99994,0.52274,0.79487,0.88596,0.69951,0.80699,0.54545,0.75761,0.5851,0.63631,0.21762,1.2038,1.3017,0.89188,0.81262,0.0075052,0.0075052,0.0075052
128,129,0.97114,0.98907,0.53203,0.80445,0.90385,0.7069,0.80388,0.53171,0.75266,0.57882,0.58799,0.19425,1.218,1.2498,0.79077,0.81399,0.0074854,0.0074854,0.0074854
